DATE,PAYEMS
7/1/1977,82834
8/1/1977,83075
9/1/1977,83532
10/1/1977,83800
11/1/1977,84173
12/1/1977,84410
1/1/1978,84594
2/1/1978,84948
3/1/1978,85460
4/1/1978,86162
5/1/1978,86509
6/1/1978,86950
7/1/1978,87204
8/1/1978,87483
9/1/1978,87621
10/1/1978,87956
11/1/1978,88391
12/1/1978,88671
1/1/1979,88808
2/1/1979,89055
3/1/1979,89479
4/1/1979,89417
5/1/1979,89789
6/1/1979,90108
7/1/1979,90217
8/1/1979,90300
9/1/1979,90327
10/1/1979,90481
11/1/1979,90573
12/1/1979,90672
1/1/1980,90800
2/1/1980,90883
3/1/1980,90994
4/1/1980,90849
5/1/1980,90420
6/1/1980,90101
7/1/1980,89840
8/1/1980,90099
9/1/1980,90213
10/1/1980,90490
11/1/1980,90747
12/1/1980,90943
1/1/1981,91033
2/1/1981,91105
3/1/1981,91210
4/1/1981,91283
5/1/1981,91296
6/1/1981,91490
7/1/1981,91601
8/1/1981,91565
9/1/1981,91477
10/1/1981,91380
11/1/1981,91171
12/1/1981,90895
1/1/1982,90565
2/1/1982,90563
3/1/1982,90434
4/1/1982,90150
5/1/1982,90107
6/1/1982,89865
7/1/1982,89521
8/1/1982,89363
9/1/1982,89183
10/1/1982,88907
11/1/1982,88786
12/1/1982,88771
1/1/1983,88990
2/1/1983,88917
3/1/1983,89090
4/1/1983,89364
5/1/1983,89644
6/1/1983,90021
7/1/1983,90437
8/1/1983,90129
9/1/1983,91247
10/1/1983,91520
11/1/1983,91875
12/1/1983,92230
1/1/1984,92673
2/1/1984,93157
3/1/1984,93429
4/1/1984,93792
5/1/1984,94098
6/1/1984,94479
7/1/1984,94789
8/1/1984,95032
9/1/1984,95344
10/1/1984,95629
11/1/1984,95982
12/1/1984,96107
1/1/1985,96372
2/1/1985,96503
3/1/1985,96842
4/1/1985,97038
5/1/1985,97312
6/1/1985,97459
7/1/1985,97648
8/1/1985,97840
9/1/1985,98045
10/1/1985,98233
11/1/1985,98443
12/1/1985,98609
1/1/1986,98732
2/1/1986,98847
3/1/1986,98934
4/1/1986,99121
5/1/1986,99248
6/1/1986,99155
7/1/1986,99473
8/1/1986,99588
9/1/1986,99934
10/1/1986,100121
11/1/1986,100308
12/1/1986,100509
1/1/1987,100678
2/1/1987,100919
3/1/1987,101164
4/1/1987,101499
5/1/1987,101728
6/1/1987,101900
7/1/1987,102247
8/1/1987,102420
9/1/1987,102647
10/1/1987,103138
11/1/1987,103372
12/1/1987,103661
1/1/1988,103753
2/1/1988,104214
3/1/1988,104489
4/1/1988,104732
5/1/1988,104962
6/1/1988,105326
7/1/1988,105550
8/1/1988,105674
9/1/1988,106013
10/1/1988,106276
11/1/1988,106617
12/1/1988,106898
1/1/1989,107161
2/1/1989,107427
3/1/1989,107621
4/1/1989,107791
5/1/1989,107913
6/1/1989,108027
7/1/1989,108069
8/1/1989,108120
9/1/1989,108369
10/1/1989,108476
11/1/1989,108752
12/1/1989,108836
1/1/1990,109199
2/1/1990,109435
3/1/1990,109644
4/1/1990,109686
5/1/1990,109839
6/1/1990,109856
7/1/1990,109824
8/1/1990,109616
9/1/1990,109518
10/1/1990,109367
11/1/1990,109214
12/1/1990,109166
1/1/1991,109055
2/1/1991,108734
3/1/1991,108574
4/1/1991,108364
5/1/1991,108249
6/1/1991,108334
7/1/1991,108292
8/1/1991,108310
9/1/1991,108336
10/1/1991,108357
11/1/1991,108296
12/1/1991,108328
1/1/1992,108369
2/1/1992,108311
3/1/1992,108365
4/1/1992,108519
5/1/1992,108649
6/1/1992,108715
7/1/1992,108793
8/1/1992,108925
9/1/1992,108959
10/1/1992,109139
11/1/1992,109272
12/1/1992,109495
1/1/1993,109794
2/1/1993,110044
3/1/1993,109994
4/1/1993,110296
5/1/1993,110568
6/1/1993,110749
7/1/1993,111055
8/1/1993,111206
9/1/1993,111448
10/1/1993,111733
11/1/1993,111984
12/1/1993,112314
1/1/1994,112595
2/1/1994,112781
3/1/1994,113242
4/1/1994,113586
5/1/1994,113921
6/1/1994,114238
7/1/1994,114610
8/1/1994,114896
9/1/1994,115247
10/1/1994,115458
11/1/1994,115869
12/1/1994,116165
1/1/1995,116501
2/1/1995,116697
3/1/1995,116907
4/1/1995,117069
5/1/1995,117049
6/1/1995,117286
7/1/1995,117380
8/1/1995,117634
9/1/1995,117875
10/1/1995,118031
11/1/1995,118175
12/1/1995,118320
1/1/1996,118316
2/1/1996,118739
3/1/1996,118993
4/1/1996,119158
5/1/1996,119486
6/1/1996,119769
7/1/1996,120015
8/1/1996,120199
9/1/1996,120410
10/1/1996,120665
11/1/1996,120961
12/1/1996,121143
1/1/1997,121363
2/1/1997,121675
3/1/1997,121990
4/1/1997,122286
5/1/1997,122546
6/1/1997,122814
7/1/1997,123111
8/1/1997,123093
