DATE,LREM25MAUSM156S
10/1/2002,86.51568439
11/1/2002,85.9413537
12/1/2002,86.02513152
1/1/2003,85.76175444
2/1/2003,85.96097347
3/1/2003,85.91647373
4/1/2003,85.97837323
5/1/2003,85.5992545
6/1/2003,85.72139762
7/1/2003,85.72665172
8/1/2003,85.60415855
9/1/2003,85.80561195
10/1/2003,85.81042144
11/1/2003,86.04764271
12/1/2003,86.38437576
1/1/2004,86.41053613
2/1/2004,86.09913174
3/1/2004,86.03206786
4/1/2004,86.20701913
5/1/2004,86.20026924
6/1/2004,86.49389225
7/1/2004,86.64940514
8/1/2004,86.39429614
9/1/2004,86.40228156
10/1/2004,86.3778227
11/1/2004,86.54692868
12/1/2004,86.29550434
1/1/2005,86.46572241
2/1/2005,86.58404599
3/1/2005,86.68363789
4/1/2005,87.00629053
5/1/2005,87.02239608
6/1/2005,86.95874876
7/1/2005,87.08532769
8/1/2005,87.41327492
9/1/2005,87.03170073
10/1/2005,87.11740439
11/1/2005,86.93127635
12/1/2005,86.80156691
1/1/2006,86.99325236
2/1/2006,86.87354185
3/1/2006,87.22286468
4/1/2006,87.18743148
5/1/2006,87.14006756
6/1/2006,87.2255251
7/1/2006,87.13573628
8/1/2006,87.17839273
9/1/2006,87.56592879
10/1/2006,87.75483222
11/1/2006,87.75168052
12/1/2006,87.77129783
1/1/2007,87.75685987
2/1/2007,87.53590201
3/1/2007,87.67601164
4/1/2007,87.79490407
5/1/2007,87.73367957
6/1/2007,87.53690702
7/1/2007,87.39653041
8/1/2007,87.389372
9/1/2007,87.31007837
10/1/2007,87.27657645
11/1/2007,87.44736891
12/1/2007,87.30475453
1/1/2008,87.10811184
2/1/2008,86.99633478
3/1/2008,86.79965425
4/1/2008,86.59629808
5/1/2008,86.48648609
6/1/2008,86.25230469
7/1/2008,86.22037185
8/1/2008,85.87960445
9/1/2008,85.47736187
10/1/2008,85.3981008
11/1/2008,84.81180995
12/1/2008,83.90522971
1/1/2009,83.19342518
2/1/2009,82.60826562
3/1/2009,82.14386008
4/1/2009,81.6799665
5/1/2009,81.31091678
6/1/2009,81.17082021
7/1/2009,81.15566962
8/1/2009,81.05808999
9/1/2009,80.61419494
10/1/2009,80.71776283
11/1/2009,80.69555735
12/1/2009,80.73262013
1/1/2010,80.90360067
2/1/2010,80.83355165
3/1/2010,80.95014872
4/1/2010,81.16721125
5/1/2010,80.97238831
6/1/2010,80.86266658
7/1/2010,81.07921327
8/1/2010,81.15078293
9/1/2010,81.08792486
10/1/2010,81.16153641
11/1/2010,80.62638901
12/1/2010,81.02831451
1/1/2011,81.22911305
2/1/2011,81.51142331
3/1/2011,81.39424106
4/1/2011,81.09692886
5/1/2011,81.56599154
6/1/2011,81.12586555
7/1/2011,81.14212421
8/1/2011,81.3355731
9/1/2011,81.28851019
10/1/2011,81.19226765
11/1/2011,81.93241644
12/1/2011,82.21897463
1/1/2012,82.40416732
2/1/2012,82.38806634
3/1/2012,82.32263018
4/1/2012,82.41861264
5/1/2012,82.53959554
6/1/2012,82.43978701
7/1/2012,82.47092367
8/1/2012,82.4528509
9/1/2012,82.736816
10/1/2012,82.92093116
11/1/2012,82.52009492
12/1/2012,82.87839907
1/1/2013,82.55890435
2/1/2013,82.74130465
3/1/2013,82.65117655
4/1/2013,82.74036384
5/1/2013,83.05113771
6/1/2013,82.88924389
7/1/2013,82.96249274
8/1/2013,82.6417825
9/1/2013,82.65166453
10/1/2013,82.42267079
11/1/2013,82.98274
12/1/2013,83.09618377
1/1/2014,83.14164663
2/1/2014,82.9485774
3/1/2014,83.333339
4/1/2014,83.19588529
5/1/2014,83.36448453
6/1/2014,83.7808776
7/1/2014,83.95113646
8/1/2014,83.95649092
9/1/2014,84.14734755
10/1/2014,84.02507979
11/1/2014,83.86298474
12/1/2014,84.16538521
1/1/2015,84.17510261
2/1/2015,84.24051917
3/1/2015,84.38240116
4/1/2015,84.40637519
5/1/2015,84.33722533
6/1/2015,84.48459671
7/1/2015,84.451679
8/1/2015,84.66988517
9/1/2015,84.6758681
10/1/2015,84.39250496
11/1/2015,84.36801101
12/1/2015,84.4811171
1/1/2016,84.78762382
2/1/2016,84.87636622
3/1/2016,85.07300756
4/1/2016,84.7826567
5/1/2016,84.97420097
6/1/2016,85.08017647
7/1/2016,84.92537864
8/1/2016,84.94893209
9/1/2016,84.91565079
10/1/2016,85.01090154
11/1/2016,84.99679693
12/1/2016,85.08667041
1/1/2017,85.18944396
2/1/2017,85.1034898
3/1/2017,85.08514892
4/1/2017,85.35267762
5/1/2017,85.26011944
6/1/2017,85.269001
7/1/2017,85.29753697
8/1/2017,85.06106284
9/1/2017,85.72626401
10/1/2017,85.72539239
11/1/2017,85.67343596
12/1/2017,86.06706879
1/1/2018,85.82110415
2/1/2018,86.2938745
3/1/2018,86.13547449
4/1/2018,86.20182211
5/1/2018,86.30077185
6/1/2018,86.0487841
7/1/2018,86.26447519
8/1/2018,86.0415954
9/1/2018,86.07147201
10/1/2018,86.24816363
11/1/2018,86.40419837
12/1/2018,86.138139
1/1/2019,86.32737362
2/1/2019,86.44807878
3/1/2019,86.66308455
4/1/2019,86.38444043
5/1/2019,86.25924714
6/1/2019,86.07111867
7/1/2019,86.20627524
8/1/2019,86.28926738
9/1/2019,86.54135467
10/1/2019,86.59353886
11/1/2019,86.79521136
12/1/2019,86.56985701
1/1/2020,86.52737189
2/1/2020,86.40378238
3/1/2020,85.81481979
4/1/2020,75.89413028
5/1/2020,77.82946619
6/1/2020,79.39021637
7/1/2020,79.77804805
8/1/2020,81.47235285
9/1/2020,81.55560843
10/1/2020,82.20448439
