DATE,USPBS
8/1/1982,7872
9/1/1982,7867
10/1/1982,7861
11/1/1982,7870
12/1/1982,7877
1/1/1983,7890
2/1/1983,7893
3/1/1983,7934
4/1/1983,7972
5/1/1983,8001
6/1/1983,8044
7/1/1983,8088
8/1/1983,8119
9/1/1983,8167
10/1/1983,8190
11/1/1983,8219
12/1/1983,8259
1/1/1984,8293
2/1/1984,8337
3/1/1984,8371
4/1/1984,8410
5/1/1984,8447
6/1/1984,8483
7/1/1984,8507
8/1/1984,8533
9/1/1984,8581
10/1/1984,8615
11/1/1984,8649
12/1/1984,8678
1/1/1985,8722
2/1/1985,8751
3/1/1985,8792
4/1/1985,8815
5/1/1985,8854
6/1/1985,8880
7/1/1985,8897
8/1/1985,8944
9/1/1985,8983
10/1/1985,9017
11/1/1985,9055
12/1/1985,9083
1/1/1986,9099
2/1/1986,9123
3/1/1986,9143
4/1/1986,9174
5/1/1986,9198
6/1/1986,9218
7/1/1986,9247
8/1/1986,9276
9/1/1986,9305
10/1/1986,9335
11/1/1986,9366
12/1/1986,9399
1/1/1987,9439
2/1/1987,9473
3/1/1987,9507
4/1/1987,9549
5/1/1987,9592
6/1/1987,9618
7/1/1987,9662
8/1/1987,9700
9/1/1987,9724
10/1/1987,9763
11/1/1987,9795
12/1/1987,9838
1/1/1988,9884
2/1/1988,9942
3/1/1988,9973
4/1/1988,10008
5/1/1988,10048
6/1/1988,10103
7/1/1988,10146
8/1/1988,10178
9/1/1988,10220
10/1/1988,10255
11/1/1988,10313
12/1/1988,10370
1/1/1989,10410
2/1/1989,10466
3/1/1989,10498
4/1/1989,10525
5/1/1989,10556
6/1/1989,10573
7/1/1989,10595
8/1/1989,10613
9/1/1989,10647
10/1/1989,10658
11/1/1989,10724
12/1/1989,10764
1/1/1990,10821
2/1/1990,10886
3/1/1990,10920
4/1/1990,10919
5/1/1990,10909
6/1/1990,10922
7/1/1990,10927
8/1/1990,10909
9/1/1990,10895
10/1/1990,10850
11/1/1990,10831
12/1/1990,10799
1/1/1991,10812
2/1/1991,10766
3/1/1991,10727
4/1/1991,10714
5/1/1991,10694
6/1/1991,10712
7/1/1991,10711
8/1/1991,10735
9/1/1991,10771
10/1/1991,10777
11/1/1991,10773
12/1/1991,10791
1/1/1992,10808
2/1/1992,10825
3/1/1992,10858
4/1/1992,10902
5/1/1992,10960
6/1/1992,10993
7/1/1992,10999
8/1/1992,11041
9/1/1992,11074
10/1/1992,11118
11/1/1992,11163
12/1/1992,11230
1/1/1993,11280
2/1/1993,11327
3/1/1993,11362
4/1/1993,11410
5/1/1993,11455
6/1/1993,11492
7/1/1993,11529
8/1/1993,11568
9/1/1993,11622
10/1/1993,11700
11/1/1993,11751
12/1/1993,11788
1/1/1994,11827
2/1/1994,11873
3/1/1994,11955
4/1/1994,12038
5/1/1994,12084
6/1/1994,12155
7/1/1994,12260
8/1/1994,12305
9/1/1994,12384
10/1/1994,12438
11/1/1994,12530
12/1/1994,12573
1/1/1995,12652
2/1/1995,12711
3/1/1995,12754
4/1/1995,12768
5/1/1995,12772
6/1/1995,12818
7/1/1995,12860
8/1/1995,12934
9/1/1995,13019
10/1/1995,13051
11/1/1995,13087
12/1/1995,13137
1/1/1996,13125
2/1/1996,13257
3/1/1996,13307
4/1/1996,13344
5/1/1996,13403
6/1/1996,13477
7/1/1996,13535
8/1/1996,13605
9/1/1996,13646
10/1/1996,13669
11/1/1996,13770
12/1/1996,13833
1/1/1997,13896
2/1/1997,14010
3/1/1997,14108
4/1/1997,14218
5/1/1997,14293
6/1/1997,14363
7/1/1997,14451
8/1/1997,14461
9/1/1997,14539
10/1/1997,14608
11/1/1997,14695
12/1/1997,14784
1/1/1998,14849
2/1/1998,14907
3/1/1998,14959
4/1/1998,15006
5/1/1998,15097
6/1/1998,15179
7/1/1998,15212
8/1/1998,15271
9/1/1998,15273
10/1/1998,15374
11/1/1998,15458
12/1/1998,15548
1/1/1999,15607
2/1/1999,15686
3/1/1999,15733
4/1/1999,15809
5/1/1999,15876
6/1/1999,15964
7/1/1999,16044
8/1/1999,16083
9/1/1999,16106
10/1/1999,16259
11/1/1999,16318
12/1/1999,16390
1/1/2000,16468
2/1/2000,16504
3/1/2000,16578
4/1/2000,16661
5/1/2000,16627
6/1/2000,16696
7/1/2000,16741
8/1/2000,16772
9/1/2000,16834
10/1/2000,16847
11/1/2000,16886
12/1/2000,16869
1/1/2001,16876
2/1/2001,16851
3/1/2001,16802
4/1/2001,16675
5/1/2001,16632
6/1/2001,16566
7/1/2001,16512
8/1/2001,16449
9/1/2001,16362
10/1/2001,16261
11/1/2001,16133
12/1/2001,16107
1/1/2002,16072
2/1/2002,16042
3/1/2002,16057
4/1/2002,16058
5/1/2002,16067
6/1/2002,16058
7/1/2002,15984
8/1/2002,16012
9/1/2002,15988
10/1/2002,16007
11/1/2002,15964
12/1/2002,15900
1/1/2003,15967
2/1/2003,15994
3/1/2003,15924
4/1/2003,15927
5/1/2003,15977
6/1/2003,15992
7/1/2003,16030
8/1/2003,16024
9/1/2003,16079
10/1/2003,16102
11/1/2003,16139
12/1/2003,16167
1/1/2004,16196
2/1/2004,16209
3/1/2004,16236
4/1/2004,16346
5/1/2004,16419
6/1/2004,16451
7/1/2004,16491
8/1/2004,16489
9/1/2004,16513
10/1/2004,16632
11/1/2004,16613
12/1/2004,16629
1/1/2005,16683
2/1/2005,16766
3/1/2005,16795
4/1/2005,16855
5/1/2005,16877
6/1/2005,16965
7/1/2005,17032
8/1/2005,17091
9/1/2005,17163
10/1/2005,17183
11/1/2005,17262
12/1/2005,17296
1/1/2006,17348
2/1/2006,17408
3/1/2006,17495
4/1/2006,17515
5/1/2006,17572
6/1/2006,17642
7/1/2006,17682
8/1/2006,17728
9/1/2006,17718
10/1/2006,17722
11/1/2006,17790
12/1/2006,17823
1/1/2007,17887
2/1/2007,17918
3/1/2007,17949
4/1/2007,17966
5/1/2007,17999
6/1/2007,18011
7/1/2007,18015
8/1/2007,18025
9/1/2007,18022
10/1/2007,18058
11/1/2007,18059
12/1/2007,18104
1/1/2008,18094
2/1/2008,18046
3/1/2008,18005
4/1/2008,17996
5/1/2008,17936
6/1/2008,17896
7/1/2008,17835
8/1/2008,17771
9/1/2008,17700
10/1/2008,17590
11/1/2008,17420
12/1/2008,17287
1/1/2009,17132
2/1/2009,16936
3/1/2009,16787
4/1/2009,16652
5/1/2009,16602
6/1/2009,16497
7/1/2009,16474
8/1/2009,16465
9/1/2009,16469
10/1/2009,16488
11/1/2009,16548
12/1/2009,16551
1/1/2010,16572
2/1/2010,16591
3/1/2010,16574
4/1/2010,16666
5/1/2010,16702
6/1/2010,16764
7/1/2010,16773
8/1/2010,16833
9/1/2010,16850
10/1/2010,16917
11/1/2010,17011
12/1/2010,17080
1/1/2011,17091
2/1/2011,17170
3/1/2011,17235
4/1/2011,17297
5/1/2011,17348
6/1/2011,17363
7/1/2011,17371
8/1/2011,17446
9/1/2011,17510
10/1/2011,17556
11/1/2011,17591
12/1/2011,17658
1/1/2012,17745
2/1/2012,17816
3/1/2012,17848
4/1/2012,17897
5/1/2012,17922
6/1/2012,17977
7/1/2012,18020
8/1/2012,18052
9/1/2012,18066
10/1/2012,18139
11/1/2012,18193
12/1/2012,18230
1/1/2013,18273
2/1/2013,18367
3/1/2013,18421
4/1/2013,18483
5/1/2013,18537
6/1/2013,18582
7/1/2013,18629
8/1/2013,18655
9/1/2013,18683
10/1/2013,18732
11/1/2013,18801
12/1/2013,18790
1/1/2014,18837
2/1/2014,18899
3/1/2014,18944
4/1/2014,19002
5/1/2014,19044
6/1/2014,19105
7/1/2014,19142
8/1/2014,19201
9/1/2014,19257
10/1/2014,19285
