DATE,USGOOD
2/1/1979,24784
3/1/1979,24998
4/1/1979,24958
5/1/1979,25071
6/1/1979,25161
7/1/1979,25163
8/1/1979,25059
9/1/1979,25088
10/1/1979,25038
11/1/1979,24947
12/1/1979,24970
1/1/1980,24949
2/1/1980,24874
3/1/1980,24818
4/1/1980,24507
5/1/1980,24234
6/1/1980,23968
7/1/1980,23698
8/1/1980,23860
9/1/1980,23931
10/1/1980,24012
11/1/1980,24123
12/1/1980,24182
1/1/1981,24152
2/1/1981,24118
3/1/1981,24203
4/1/1981,24151
5/1/1981,24148
6/1/1981,24290
7/1/1981,24302
8/1/1981,24258
9/1/1981,24210
10/1/1981,24051
11/1/1981,23875
12/1/1981,23656
1/1/1982,23362
2/1/1982,23361
3/1/1982,23214
4/1/1982,22996
5/1/1982,22884
6/1/1982,22643
7/1/1982,22434
8/1/1982,22268
9/1/1982,22146
10/1/1982,21879
11/1/1982,21736
12/1/1982,21688
1/1/1983,21757
2/1/1983,21676
3/1/1983,21649
4/1/1983,21729
5/1/1983,21829
6/1/1983,21949
7/1/1983,22103
8/1/1983,22207
9/1/1983,22381
10/1/1983,22546
11/1/1983,22698
12/1/1983,22803
1/1/1984,22942
2/1/1984,23146
3/1/1984,23209
4/1/1984,23305
5/1/1984,23389
6/1/1984,23497
7/1/1984,23571
8/1/1984,23608
9/1/1984,23617
10/1/1984,23626
11/1/1984,23639
12/1/1984,23673
1/1/1985,23672
2/1/1985,23621
3/1/1985,23661
4/1/1985,23644
5/1/1985,23632
6/1/1985,23592
7/1/1985,23549
8/1/1985,23546
9/1/1985,23528
10/1/1985,23529
11/1/1985,23520
12/1/1985,23518
1/1/1986,23530
2/1/1986,23485
3/1/1986,23428
4/1/1986,23427
5/1/1986,23349
6/1/1986,23263
7/1/1986,23235
8/1/1986,23225
9/1/1986,23216
10/1/1986,23208
11/1/1986,23204
12/1/1986,23237
1/1/1987,23232
2/1/1987,23296
3/1/1987,23307
4/1/1987,23342
5/1/1987,23390
6/1/1987,23390
7/1/1987,23455
8/1/1987,23506
9/1/1987,23566
10/1/1987,23655
11/1/1987,23711
12/1/1987,23772
1/1/1988,23668
2/1/1988,23769
3/1/1988,23824
4/1/1988,23880
5/1/1988,23896
6/1/1988,23951
7/1/1988,23966
8/1/1988,23926
9/1/1988,23942
10/1/1988,23987
11/1/1988,24030
12/1/1988,24054
1/1/1989,24097
2/1/1989,24080
3/1/1989,24069
4/1/1989,24100
5/1/1989,24089
6/1/1989,24052
7/1/1989,24027
8/1/1989,24048
9/1/1989,24000
10/1/1989,23997
11/1/1989,24009
12/1/1989,23949
1/1/1990,23982
2/1/1990,24071
3/1/1990,24023
4/1/1990,23966
5/1/1990,23888
6/1/1990,23849
7/1/1990,23746
8/1/1990,23648
9/1/1990,23571
10/1/1990,23473
11/1/1990,23283
12/1/1990,23203
1/1/1991,23061
2/1/1991,22900
3/1/1991,22779
4/1/1991,22687
5/1/1991,22618
6/1/1991,22571
7/1/1991,22507
8/1/1991,22493
9/1/1991,22466
10/1/1991,22418
11/1/1991,22316
12/1/1991,22274
1/1/1992,22213
2/1/1992,22142
3/1/1992,22127
4/1/1992,22132
5/1/1992,22135
6/1/1992,22097
7/1/1992,22074
8/1/1992,22045
9/1/1992,22020
10/1/1992,22029
11/1/1992,22042
12/1/1992,22076
1/1/1993,22133
2/1/1993,22188
3/1/1993,22142
4/1/1993,22131
5/1/1993,22189
6/1/1993,22165
7/1/1993,22183
8/1/1993,22203
9/1/1993,22252
10/1/1993,22306
11/1/1993,22347
12/1/1993,22413
1/1/1994,22465
2/1/1994,22451
3/1/1994,22550
4/1/1994,22641
5/1/1994,22704
6/1/1994,22764
7/1/1994,22807
8/1/1994,22876
9/1/1994,22948
10/1/1994,22974
11/1/1994,23050
12/1/1994,23095
1/1/1995,23147
2/1/1995,23103
3/1/1995,23151
4/1/1995,23174
5/1/1995,23120
6/1/1995,23137
7/1/1995,23119
8/1/1995,23164
9/1/1995,23208
10/1/1995,23206
11/1/1995,23200
12/1/1995,23209
1/1/1996,23196
2/1/1996,23280
3/1/1996,23276
4/1/1996,23316
5/1/1996,23358
6/1/1996,23399
7/1/1996,23418
8/1/1996,23479
9/1/1996,23497
10/1/1996,23546
11/1/1996,23584
12/1/1996,23598
1/1/1997,23618
2/1/1997,23686
3/1/1997,23739
4/1/1997,23765
5/1/1997,23809
6/1/1997,23834
7/1/1997,23862
8/1/1997,23952
9/1/1997,23996
10/1/1997,24053
11/1/1997,24112
12/1/1997,24184
1/1/1998,24262
2/1/1998,24283
3/1/1998,24264
4/1/1998,24340
5/1/1998,24361
6/1/1998,24387
7/1/1998,24238
8/1/1998,24420
9/1/1998,24419
10/1/1998,24406
11/1/1998,24394
12/1/1998,24454
1/1/1999,24401
2/1/1999,24434
3/1/1999,24378
4/1/1999,24425
5/1/1999,24445
6/1/1999,24434
7/1/1999,24474
8/1/1999,24467
9/1/1999,24485
10/1/1999,24505
11/1/1999,24561
12/1/1999,24582
1/1/2000,24628
2/1/2000,24609
3/1/2000,24705
4/1/2000,24688
5/1/2000,24647
6/1/2000,24672
7/1/2000,24717
8/1/2000,24683
9/1/2000,24642
10/1/2000,24638
11/1/2000,24623
12/1/2000,24575
1/1/2001,24533
2/1/2001,24474
3/1/2001,24409
4/1/2001,24254
5/1/2001,24119
6/1/2001,23965
7/1/2001,23837
8/1/2001,23667
