DATE,SRVPRD
9/1/1996,96913
10/1/1996,97119
11/1/1996,97377
12/1/1996,97545
1/1/1997,97745
2/1/1997,97989
3/1/1997,98251
4/1/1997,98521
5/1/1997,98737
6/1/1997,98980
7/1/1997,99249
8/1/1997,99141
9/1/1997,99589
10/1/1997,99876
11/1/1997,100123
12/1/1997,100365
1/1/1998,100550
2/1/1998,100733
3/1/1998,100900
4/1/1998,101102
5/1/1998,101483
6/1/1998,101689
7/1/1998,101967
8/1/1998,102124
9/1/1998,102333
10/1/1998,102548
11/1/1998,102837
12/1/1998,103142
1/1/1999,103301
2/1/1999,103686
3/1/1999,103849
4/1/1999,104172
5/1/1999,104363
6/1/1999,104655
7/1/1999,104940
8/1/1999,105102
9/1/1999,105287
10/1/1999,105672
11/1/1999,105905
12/1/1999,106190
1/1/2000,106377
2/1/2000,106515
3/1/2000,106891
4/1/2000,107200
5/1/2000,107458
6/1/2000,107389
7/1/2000,107519
8/1/2000,107547
9/1/2000,107711
10/1/2000,107713
11/1/2000,107933
12/1/2000,108134
1/1/2001,108165
2/1/2001,108315
3/1/2001,108338
4/1/2001,108209
5/1/2001,108291
6/1/2001,108334
7/1/2001,108340
8/1/2001,108361
9/1/2001,108234
10/1/2001,108076
11/1/2001,107933
12/1/2001,107888
1/1/2002,107891
2/1/2002,107860
3/1/2002,107931
4/1/2002,107934
5/1/2002,108030
6/1/2002,108106
7/1/2002,108069
8/1/2002,108138
9/1/2002,108104
10/1/2002,108303
11/1/2002,108333
12/1/2002,108283
1/1/2003,108434
2/1/2003,108421
3/1/2003,108287
4/1/2003,108313
5/1/2003,108364
6/1/2003,108406
7/1/2003,108483
8/1/2003,108443
9/1/2003,108554
10/1/2003,108763
11/1/2003,108786
12/1/2003,108885
1/1/2004,109054
2/1/2004,109132
3/1/2004,109384
4/1/2004,109609
5/1/2004,109813
6/1/2004,109908
7/1/2004,109948
8/1/2004,109993
9/1/2004,110136
10/1/2004,110443
11/1/2004,110506
12/1/2004,110619
1/1/2005,110816
2/1/2005,110996
3/1/2005,111090
4/1/2005,111382
5/1/2005,111518
6/1/2005,111757
7/1/2005,112091
8/1/2005,112270
9/1/2005,112340
10/1/2005,112363
11/1/2005,112636
12/1/2005,112773
1/1/2006,112962
2/1/2006,113202
3/1/2006,113475
4/1/2006,113574
5/1/2006,113647
